,AAPL,ADBE,AMD,AMGN,AMZN,CMCSA,CSCO,GILD,GOOG,GOOGL,INTC,META,MSFT,NFLX,NVDA,PEP,PYPL,QCOM,SBUX,TSLA
AAPL,432.36337716748125,85.778616855577,113.09474060581321,24.616257233507955,79.11423697636432,37.00951647506167,28.539860938160427,86.90242046191229,3.975899819095683,3.979415727302177,19.06305675483644,0.7002720529517246,46.4829713709211,53.326382235215455,169.15542734249638,41.60905331612485,2.3334767797771883,79.55989716979205,97.7649171448484,-10.968431843302216
ADBE,85.778616855577,88.11633583578569,154.244472041833,32.6915322832756,71.3515102182961,35.263635692740756,34.35099505912782,47.971570998944216,1.7987781598964467,1.8098822249519873,26.71186179564667,3.2162302374930016,60.29185802843171,95.144352870517,145.19444877467225,26.397087780752823,-0.11935844243771536,35.702839252132385,45.98147872361938,-13.430631385190562
AMD,113.09474060581321,154.244472041833,730.5899621928663,26.7248830102698,141.59186402609336,31.742892907678154,57.527446904805245,-42.064593323920015,6.121066274483019,6.071680130586468,51.294624606613226,7.587613515689181,127.02216768675747,123.93699655178563,447.09292489765164,35.025645801893404,-5.292202660282819,71.95048191913612,62.17734034587375,-54.29514607381553
AMGN,24.616257233507955,32.6915322832756,26.7248830102698,30.753461714096805,25.87495740072485,25.290816885242368,13.40401967603246,42.566790681677695,0.30573286204256567,0.2953596041149424,10.47071358407788,0.9348244543174409,23.65182777242551,55.8210465131441,30.239912213934662,15.325353208522937,0.24945081642914332,16.622537021142833,29.795662972171158,2.351792987773944
AMZN,79.11423697636432,71.3515102182961,141.59186402609336,25.87495740072485,130.76418697415164,35.173680360645136,33.269662020900455,29.605226637392754,2.348536388275989,2.3700134534427497,33.6428145889922,-1.4528727511090047,57.25115521346636,149.43200920418448,148.09970175175087,25.093127290815538,-0.7558919899423197,31.681983415161515,56.24243216037062,-9.091342433524451
CMCSA,37.00951647506167,35.263635692740756,31.742892907678154,25.290816885242368,35.173680360645136,38.243677567484426,17.71461027985762,39.398385457482085,0.8651448182544802,0.8581277183506324,13.906997786748889,1.1743328243836608,25.743964239479627,53.697250661485086,40.34439998816117,17.295642775384085,-0.5942998406132857,19.71526357252072,41.83760042283058,-1.7812041465331874
CSCO,28.539860938160427,34.35099505912782,57.527446904805245,13.40401967603246,33.269662020900455,17.71461027985762,25.60349122929445,23.705433324497065,0.7057886109518012,0.7228876876939273,14.96060593340634,1.0819697917947635,25.427531506613843,42.47426384332132,58.34952177037211,14.31474804648595,-0.30552901902447754,13.34657448698896,21.889309303822156,-5.026682836282406
GILD,86.90242046191229,47.971570998944216,-42.064593323920015,42.566790681677695,29.605226637392754,39.398385457482085,23.705433324497065,118.81315250041575,-0.4412102489929558,-0.4030675450100877,9.87156673909908,2.449499638350273,21.31834371124357,97.06261727532805,13.162487375052931,25.563661426580484,2.9012757021038116,24.455921366982576,40.69304257638113,13.174438558397197
GOOG,3.975899819095683,1.7987781598964467,6.121066274483019,0.30573286204256567,2.348536388275989,0.8651448182544802,0.7057886109518012,-0.4412102489929558,72.35095998587775,72.17256152616005,1.206541247016704,-0.8798039599168235,1.4564244332755156,3.297119299544247,4.403371265500901,0.20840344065083818,-2.6479907313521514,1.5422834945631416,0.2646349114009286,-5.0422579081368015
GOOGL,3.979415727302177,1.8098822249519873,6.071680130586468,0.2953596041149424,2.3700134534427497,0.8581277183506324,0.7228876876939273,-0.4030675450100877,72.17256152616005,72.05646964305778,1.2043993956746504,-0.8316366176457963,1.4398897740008658,3.3282845084171386,4.403210421319394,0.20346620504281715,-2.5709874505236807,1.5334313357220175,0.2409445619615835,-4.541974072337289
INTC,19.06305675483644,26.71186179564667,51.294624606613226,10.47071358407788,33.6428145889922,13.906997786748889,14.96060593340634,9.87156673909908,1.206541247016704,1.2043993956746504,22.001205471503884,-0.10651083969192912,20.56388928253095,39.11979056985171,42.26586494894696,8.039276052357483,-0.09582244202026495,9.801342005193492,20.26138394782194,-7.603165712624405
META,0.7002720529517246,3.2162302374930016,7.587613515689181,0.9348244543174409,-1.4528727511090047,1.1743328243836608,1.0819697917947635,2.449499638350273,-0.8798039599168235,-0.8316366176457963,-0.10651083969192912,138.87174472439702,2.3730470403841974,-0.18098877311328043,7.817712449323107,0.7586671868586696,-0.3101574025162955,1.833680618179244,-0.8358688894806934,0.909649915785364
MSFT,46.4829713709211,60.29185802843171,127.02216768675747,23.65182777242551,57.25115521346636,25.743964239479627,25.427531506613843,21.31834371124357,1.4564244332755156,1.4398897740008658,20.56388928253095,2.3730470403841974,54.68022655499615,57.17093232779782,110.09277794066412,21.433623783863517,-0.820800998705384,29.6787395743338,33.58841531331867,-10.029135371605333
NFLX,53.326382235215455,95.144352870517,123.93699655178563,55.8210465131441,149.43200920418448,53.697250661485086,42.47426384332132,97.06261727532805,3.297119299544247,3.3282845084171386,39.11979056985171,-0.18098877311328043,57.17093232779782,571.1752454130599,122.43926926181994,33.18130107352241,0.4791305493331139,35.02260602034863,97.1408452929304,11.77957558681948
NVDA,169.15542734249638,145.19444877467225,447.09292489765164,30.239912213934662,148.09970175175087,40.34439998816117,58.34952177037211,13.162487375052931,4.403371265500901,4.403210421319394,42.26586494894696,7.817712449323107,110.09277794066412,122.43926926181994,565.6618174543855,40.36975752428702,-4.588782866096995,48.51073929966278,40.45086830373686,-34.420376505641556
PEP,41.60905331612485,26.397087780752823,35.025645801893404,15.325353208522937,25.093127290815538,17.295642775384085,14.31474804648595,25.563661426580484,0.20840344065083818,0.20346620504281715,8.039276052357483,0.7586671868586696,21.433623783863517,33.18130107352241,40.36975752428702,16.02872989280708,-0.3118543497610266,17.495587051848936,24.22435697680124,1.1839058295367917
PYPL,2.3334767797771883,-0.11935844243771536,-5.292202660282819,0.24945081642914332,-0.7558919899423197,-0.5942998406132857,-0.30552901902447754,2.9012757021038116,-2.6479907313521514,-2.5709874505236807,-0.09582244202026495,-0.3101574025162955,-0.820800998705384,0.4791305493331139,-4.588782866096995,-0.3118543497610266,148.6719794003168,1.3134679601961958,-2.5416374887873907,2.833544092252271
QCOM,79.55989716979205,35.702839252132385,71.95048191913612,16.622537021142833,31.681983415161515,19.71526357252072,13.34657448698896,24.455921366982576,1.5422834945631416,1.5334313357220175,9.801342005193492,1.833680618179244,29.6787395743338,35.02260602034863,48.51073929966278,17.495587051848936,1.3134679601961958,46.89165569059379,37.29244429812874,0.45371929335835137
SBUX,97.7649171448484,45.98147872361938,62.17734034587375,29.795662972171158,56.24243216037062,41.83760042283058,21.889309303822156,40.69304257638113,0.2646349114009286,0.2409445619615835,20.26138394782194,-0.8358688894806934,33.58841531331867,97.1408452929304,40.45086830373686,24.22435697680124,-2.5416374887873907,37.29244429812874,95.77808860068073,-1.1433423403145884
TSLA,-10.968431843302216,-13.430631385190562,-54.29514607381553,2.351792987773944,-9.091342433524451,-1.7812041465331874,-5.026682836282406,13.174438558397197,-5.0422579081368015,-4.541974072337289,-7.603165712624405,0.909649915785364,-10.029135371605333,11.77957558681948,-34.420376505641556,1.1839058295367917,2.833544092252271,0.45371929335835137,-1.1433423403145884,2491.790218730351
